Date,Open,High,Low,Close
08/28/2024,"62,087","62,088","57,889","58,874"
08/27/2024,"63,329","63,575","61,483","62,085"
08/26/2024,"64,217","64,997","63,107","63,323"
08/25/2024,"64,249","64,506","63,604","64,217"
08/24/2024,"63,685","64,907","63,553","64,249"
08/23/2024,"60,281","63,841","60,281","63,687"
08/22/2024,"61,583","61,796","59,833","60,280"
08/21/2024,"59,501","61,642","58,835","61,583"
08/20/2024,"59,016","61,376","58,627","59,500"
08/19/2024,"59,699","59,845","57,867","59,020"
08/18/2024,"59,479","60,235","59,181","59,699"
08/17/2024,"59,733","59,733","58,775","59,479"
08/16/2024,"57,057","59,839","56,222","59,736"
08/15/2024,"58,912","59,834","56,753","57,057"
08/14/2024,"60,858","61,664","58,757","58,913"
08/13/2024,"59,035","61,573","58,503","60,860"
08/12/2024,"59,650","60,638","57,702","59,034"
08/11/2024,"61,027","61,743","59,589","59,651"
08/10/2024,"60,692","61,444","59,996","61,027"
08/09/2024,"59,400","62,622","59,350","60,691"
08/08/2024,"54,747","59,852","54,614","59,396"
08/07/2024,"56,803","57,704","54,694","54,747"
08/06/2024,"53,462","57,053","53,462","56,805"
08/05/2024,"59,248","59,519","49,314","53,461"
08/04/2024,"60,212","61,053","57,284","59,249"
08/03/2024,"62,572","63,094","59,916","60,212"
08/02/2024,"63,380","65,538","62,436","62,574"
08/01/2024,"65,239","65,358","62,255","63,379"
07/31/2024,"65,862","66,796","65,002","65,238"
07/30/2024,"67,267","67,538","65,566","65,864"
07/29/2024,"68,123","69,990","66,525","67,267"
07/28/2024,"68,276","69,103","66,723","68,123"
07/27/2024,"68,014","69,404","67,438","68,275"
07/26/2024,"64,680","68,132","64,436","68,014"
07/25/2024,"65,668","66,058","63,461","64,680"
07/24/2024,"65,496","67,091","65,487","65,668"
07/23/2024,"68,249","68,285","65,483","65,495"
07/22/2024,"67,450","68,473","66,612","68,248"
07/21/2024,"67,261","67,713","65,851","67,450"
07/20/2024,"67,232","67,614","66,303","67,261"
07/19/2024,"63,518","67,443","63,313","67,235"
07/18/2024,"64,571","65,097","63,241","63,518"
07/17/2024,"65,195","66,105","63,891","64,571"
07/16/2024,"63,452","65,211","62,457","65,196"
07/15/2024,"59,938","63,868","59,912","63,453"
07/14/2024,"58,647","60,391","58,316","59,938"
07/13/2024,"57,608","58,968","57,173","58,647"
07/12/2024,"57,386","58,529","56,563","57,606"
07/11/2024,"57,401","59,354","57,100","57,386"
07/10/2024,"57,863","59,409","57,368","57,403"
07/09/2024,"56,492","58,234","56,203","57,863"
07/08/2024,"57,136","58,145","54,317","56,494"
07/07/2024,"57,865","58,464","56,599","57,136"
07/06/2024,"56,458","58,077","56,037","57,864"
07/05/2024,"58,254","58,723","53,701","56,458"
07/04/2024,"59,613","60,406","56,757","58,253"
07/03/2024,"61,804","62,191","59,614","59,614"
07/02/2024,"63,235","63,343","61,743","61,804"
07/01/2024,"61,931","63,789","61,771","63,236"
06/30/2024,"60,955","61,991","60,623","61,931"
06/29/2024,"59,956","61,113","59,947","60,955"
06/28/2024,"61,345","62,139","59,956","59,956"
06/27/2024,"60,947","62,320","60,575","61,343"
06/26/2024,"61,998","62,451","60,690","60,949"
06/25/2024,"59,196","62,330","58,580","61,999"
06/24/2024,"64,099","64,108","59,074","59,191"
06/23/2024,"64,273","64,491","63,895","64,099"
06/22/2024,"64,174","64,485","63,818","64,273"
06/21/2024,"64,974","65,141","63,367","64,173"
06/20/2024,"64,860","66,450","64,529","64,973"
06/19/2024,"64,374","65,694","64,187","64,860"
06/18/2024,"66,622","66,703","64,052","64,374"
06/17/2024,"66,505","67,251","65,071","66,622"
06/16/2024,"66,119","66,729","65,846","66,505"
06/15/2024,"65,454","66,559","65,454","66,119"
06/14/2024,"66,581","67,308","65,035","65,453"
06/13/2024,"67,574","68,595","66,254","66,582"
06/12/2024,"67,377","69,986","66,909","67,577"
06/11/2024,"69,509","69,666","66,178","67,376"
06/10/2024,"69,714","70,154","69,202","69,510"
06/09/2024,"69,455","69,839","69,156","69,714"
06/08/2024,"69,297","69,534","68,967","69,455"
06/07/2024,"70,452","71,927","68,535","69,298"
06/06/2024,"71,312","71,624","70,450","70,452"
06/05/2024,"70,481","71,765","70,183","71,314"
06/04/2024,"69,153","71,072","68,557","70,484"
06/03/2024,"67,718","70,250","67,556","69,150"
06/02/2024,"67,705","68,401","67,309","67,718"
06/01/2024,"67,555","67,805","67,171","67,705"
05/31/2024,"68,635","68,990","66,628","67,555"
05/30/2024,"67,188","69,515","67,112","68,635"
05/29/2024,"68,368","68,837","67,110","67,186"
05/28/2024,"69,217","69,778","67,235","68,369"
05/27/2024,"68,861","70,581","68,231","69,216"
05/26/2024,"69,153","69,459","68,661","68,861"
05/25/2024,"69,198","69,568","68,511","69,153"
05/24/2024,"67,076","69,242","66,439","69,202"
05/23/2024,"69,584","70,010","66,736","67,075"
05/22/2024,"69,278","70,605","69,220","69,584"
05/21/2024,"70,058","71,935","68,958","69,278"
05/20/2024,"66,044","70,058","66,009","70,058"
05/19/2024,"66,937","67,674","65,927","66,044"
05/18/2024,"67,049","67,380","66,656","66,937"
05/17/2024,"65,168","67,459","65,068","67,046"
05/16/2024,"66,088","66,666","64,620","65,169"
05/15/2024,"61,553","66,450","61,334","66,088"
05/14/2024,"63,127","63,169","61,118","61,553"
05/13/2024,"61,386","63,419","60,758","63,126"
05/12/2024,"61,121","61,818","60,626","61,386"
05/11/2024,"60,627","61,443","60,457","61,121"
05/10/2024,"62,456","63,453","60,233","60,626"
05/09/2024,"62,162","62,642","60,655","62,456"
05/08/2024,"63,040","63,173","61,790","62,162"
05/07/2024,"63,193","64,380","62,820","63,040"
05/06/2024,"63,884","65,471","62,739","63,193"
05/05/2024,"63,939","64,591","62,954","63,883"
05/04/2024,"62,095","64,505","62,013","63,939"
05/03/2024,"59,338","62,153","58,719","62,096"
05/02/2024,"56,975","59,564","56,713","59,336"
05/01/2024,"59,164","60,952","56,553","56,979"
04/30/2024,"62,955","64,684","59,109","59,166"
04/29/2024,"63,736","63,736","61,814","62,955"
04/28/2024,"63,314","64,305","63,121","63,736"
04/27/2024,"63,836","64,068","62,461","63,314"
04/26/2024,"64,680","65,254","63,320","63,839"
04/25/2024,"63,958","64,870","62,806","64,678"
04/24/2024,"66,470","67,058","63,777","63,959"
04/23/2024,"66,599","67,228","65,865","66,468"
04/22/2024,"64,554","66,847","64,397","66,602"
04/21/2024,"64,891","65,711","64,277","64,554"
04/20/2024,"64,316","65,418","63,046","64,891"
04/19/2024,"63,548","65,476","59,665","64,315"
04/18/2024,"60,998","64,148","60,800","63,546"
04/17/2024,"62,754","64,466","59,744","60,999"
04/16/2024,"63,371","63,876","61,727","62,755"
04/15/2024,"64,200","66,870","62,375","63,370"
04/14/2024,"64,838","65,568","60,908","64,200"
04/13/2024,"66,868","67,929","64,095","64,828"
04/12/2024,"70,460","71,231","65,484","66,870"
04/11/2024,"70,026","71,253","69,576","70,460"
04/10/2024,"68,995","70,023","67,510","70,023"
04/09/2024,"71,674","71,975","68,274","68,995"
